Velocity Data
Time (s),Velocity (m/s)
0.1,1.28
0.2,1.856
0.3,0.388
0.4,1.2959999999999998
0.5,0.6320000000000003
0.6,-0.2410000000000001
0.7,-1.37
0.8,-1.1480000000000001
0.9,-1.4949999999999999
1.0,-1.733
1.1,-1.5409999999999997
1.2,-1.3780000000000003
1.3,-0.9269999999999995
1.4,-0.5050000000000004
1.5,-0.5789999999999995
1.6,1.0459999999999996
1.7,0.23299999999999987
1.8,0.9300000000000003
1.9,2.137
2.0,0.781
2.1,1.562
2.2,1.4160000000000001
2.3,0.998
2.4,0.7019999999999998
2.5,0.5049999999999999
2.6,-0.5180000000000001
2.7,-0.1379999999999998
2.8,-1.4729999999999999
2.9,-1.246
3.0,-1.453
3.1,-2.049
3.2,-1.3309999999999995
3.3,-0.534
3.4,-0.5330000000000001
3.5,-0.6480000000000002
3.6,0.030999999999999917
3.7,0.9460000000000002
3.8,0.9100000000000003
3.9,1.4039999999999997
4.0,1.32
4.1,1.8729999999999998
4.2,1.9039999999999997
4.3,0.4200000000000004
4.4,0.57
4.5,0.18600000000000005
4.6,-0.21799999999999986
4.7,-0.7590000000000002
4.8,-0.4680000000000001
4.9,-1.9489999999999998
5.0,-0.9420000000000001
5.1,-1.7089999999999999
5.2,-1.0429999999999997
5.3,-1.1380000000000001
5.4,-1.1039999999999999
5.5,0.267
5.6,-0.20600000000000007
5.7,0.8389999999999997
5.8,1.2209999999999999
5.9,1.2540000000000002
6.0,1.1039999999999999
6.1,1.7779999999999998
6.2,1.717
6.3,0.8179999999999998
6.4,0.6540000000000001
6.5,0.5690000000000001
6.6,-0.6890000000000002
6.7,-0.33999999999999975
6.8,-1.586
6.9,-0.625
7.0,-2.367
7.1,-1.291
7.2,-0.776
7.3,-1.4169999999999998
7.4,-1.1850000000000005
7.5,-0.3839999999999999
7.6,0.35399999999999987
7.7,0.7450000000000007
7.8,1.517
7.9,0.8739999999999998
8.0,2.005
8.1,1.1849999999999998
8.2,1.935
8.3,0.48599999999999977
8.4,1.5390000000000004
8.5,0.15800000000000036
8.6,-0.9550000000000003
8.7,-0.7280000000000003
8.8,-0.23999999999999966
8.9,-2.2390000000000003
9.0,-0.9409999999999998
9.1,-1.6809999999999998
9.2,-1.3679999999999997
9.3,-1.3680000000000003
9.4,-0.20299999999999985
9.5,-0.5049999999999999
9.6,0.4830000000000001
9.7,0.5869999999999997
9.8,0.5520000000000003
9.9,2.0829999999999997
10.0,0.7839999999999999

Acceleration Data
Time (s),Acceleration (m/s^2)
0.2,5.760000000000001
0.3,-14.68
0.4,9.079999999999998
0.5,-6.639999999999994
0.6,-8.730000000000004
0.7,-11.29
0.8,2.2199999999999998
0.9,-3.4699999999999975
1.0,-2.380000000000002
1.1,1.920000000000004
1.2,1.6299999999999937
1.3,4.510000000000008
1.4,4.21999999999999
1.5,-0.7399999999999907
1.6,16.24999999999999
1.7,-8.129999999999997
1.8,6.970000000000003
1.9,12.069999999999999
2.0,-13.559999999999999
2.1,7.81
2.2,-1.459999999999999
2.3,-4.1800000000000015
2.4,-2.9600000000000013
2.5,-1.9699999999999995
2.6,-10.23
2.7,3.8000000000000034
2.8,-13.35
2.9,2.2699999999999987
3.0,-2.0700000000000007
3.1,-5.959999999999998
3.2,7.180000000000004
3.3,7.969999999999994
3.4,0.009999999999998899
3.5,-1.150000000000001
3.6,6.790000000000001
3.7,9.150000000000002
3.8,-0.3599999999999992
3.9,4.939999999999994
4.0,-0.8399999999999963
4.1,5.529999999999997
4.2,0.30999999999999917
4.3,-14.839999999999993
4.4,1.4999999999999958
4.5,-3.839999999999999
4.6,-4.039999999999999
4.7,-5.410000000000004
4.8,2.9100000000000015
4.9,-14.809999999999999
5.0,10.069999999999997
5.1,-7.669999999999997
5.2,6.660000000000001
5.3,-0.9500000000000042
5.4,0.3400000000000025
5.5,13.709999999999999
5.6,-4.73
5.7,10.45
5.8,3.820000000000001
5.9,0.3300000000000036
6.0,-1.5000000000000036
6.1,6.739999999999999
6.2,-0.6099999999999972
6.3,-8.990000000000002
6.4,-1.639999999999997
6.5,-0.8500000000000008
6.6,-12.580000000000002
6.7,3.490000000000004
6.8,-12.460000000000004
6.9,9.61
7.0,-17.419999999999998
7.1,10.76
7.2,5.149999999999999
7.3,-6.4099999999999975
7.4,2.319999999999993
7.5,8.010000000000005
7.6,7.379999999999997
7.7,3.9100000000000077
7.8,7.719999999999992
7.9,-6.430000000000001
8.0,11.310000000000002
8.1,-8.2
8.2,7.500000000000002
8.3,-14.490000000000002
8.4,10.530000000000005
8.5,-13.809999999999999
8.6,-11.130000000000006
8.7,2.2699999999999996
8.8,4.880000000000006
8.9,-19.990000000000006
9.0,12.980000000000004
9.1,-7.3999999999999995
9.2,3.1300000000000017
9.3,-6.661338147750939e-15
9.4,11.650000000000004
9.5,-3.0200000000000005
9.6,9.879999999999999
9.7,1.0399999999999965
9.8,-0.34999999999999476
9.9,15.309999999999993
10.0,-12.989999999999998

Maximum Force
Time (s),Max Force (N)
6.0,10.3381

Work Done
Total Work Done (Joules)
76.43817716000001
